y	x
94	2494.900
285	2496.800
213	2498.900
186	2499.600
380	2506.000
140	2506.600
83	2508.400
63	2510.000
294	2511.300
213	2511.700
296	2512.300
297	2513.100
221	2513.200
315	2513.400
257	2513.900
285	2514.600
51	2515.300
366	2516.600
391	2516.900
380	2524.900
98	2525.600
76	2527.200
150	2530.300
187	2536.200
391	2536.900
46	2537.300
206	2537.300
380	2538.900
307	2539.900
76	2542.800
140	2546.600
179	2546.900
213	2547.200
310	2550.500
307	2550.900
46	2553.000
316	2553.900
380	2555.600
213	2559.100
243	2561.100
134	2562.100
11	2565.700
380	2567.000
213	2568.600
60	2569.000
167	2569.100
46	2569.400
316	2569.400
243	2570.200
335	2570.500
307	2575.800
380	2576.900
167	2585.800
307	2586.000
47	2586.400
243	2586.900
158	2588.100
56	2592.200
120	2592.300
35	2592.600
52	2592.900
322	2595.900
380	2597.100
272	2597.300
271	2598.500
167	2599.700
213	2602.600
85	2606.000
134	2607.000
123	2607.200
100	2609.300
278	2609.800
218	2610.500
243	2611.800
167	2612.700
335	2615.000
386	2618.600
373	2619.000
242	2621.600
134	2625.600
154	2626.900
307	2629.800
278	2631.200
10	2631.800
242	2634.000
19	2634.200
386	2636.500
167	2636.900
64	2638.200
85	2639.000
108	2640.500
251	2641.000
307	2641.300
17	2649.100
353	2650.100
54	2651.200
251	2651.400
200	2654.600
242	2655.900
341	2656.900
100	2661.700
386	2662.300
366	2667.000
108	2668.800
271	2668.800
186	2671.200
216	2671.800
143	2672.300
295	2672.600
155	2672.700
361	2676.900
242	2678.800
64	2679.200
17	2680.200
108	2681.400
12	2683.300
295	2683.400
53	2684.800
64	2691.600
154	2692.900
242	2692.900
267	2693.300
155	2693.600
286	2696.800
361	2696.900
64	2702.800
154	2702.900
295	2707.600
185	2708.300
389	2708.900
361	2709.100
59	2713.700
64	2714.500
170	2715.200
270	2715.300
154	2717.700
295	2718.300
397	2721.900
389	2722.700
217	2722.900
180	2724.200
185	2726.500
64	2731.000
270	2731.300
388	2733.500
59	2735.800
261	2739.000
69	2739.400
54	2740.300
92	2740.400
73	2740.500
217	2741.700
147	2742.700
360	2750.400
338	2750.500
313	2751.800
286	2754.800
325	2755.700
217	2756.300
147	2758.700
59	2758.800
142	2763.600
64	2764.800
217	2765.500
191	2768.600
74	2769.100
313	2769.900
325	2770.600
32	2771.100
147	2773.300
217	2773.600
167	2774.100
59	2775.800
64	2776.800
368	2778.100
313	2782.200
244	2784.600
59	2784.800
217	2784.800
64	2786.600
397	2787.100
368	2788.900
301	2789.600
337	2793.200
147	2796.600
217	2797.800
64	2798.200
173	2798.900
153	2799.200
133	2799.800
96	2800.600
250	2801.900
368	2805.200
244	2807.900
147	2808.500
337	2808.500
64	2815.500
141	2817.800
12	2821.000
147	2821.000
372	2821.100
368	2823.300
337	2823.500
218	2823.900
341	2824.200
77	2828.300
363	2833.100
229	2833.300
147	2835.400
223	2835.500
268	2835.700
274	2837.900
141	2843.300
218	2843.400
93	2844.400
46	2844.700
363	2849.800
174	2851.200
58	2853.200
337	2856.400
392	2856.700
218	2857.400
46	2861.300
363	2864.200
147	2864.600
58	2864.700
348	2865.100
222	2868.500
267	2868.500
223	2869.200
242	2869.300
132	2872.200
46	2872.900
212	2876.600
293	2876.800
218	2879.800
348	2879.900
12	2881.600
337	2883.200
167	2884.900
46	2885.100
59	2888.500
141	2893.500
167	2893.500
218	2894.500
12	2895.200
342	2896.600
337	2896.900
246	2904.400
167	2905.300
218	2905.600
291	2906.500
134	2907.300
131	2907.600
141	2908.200
337	2913.800
25	2915.300
46	2915.500
327	2915.700
167	2918.700
21	2920.100
232	2923.400
282	2924.800
337	2925.200
56	2925.400
134	2927.000
31	2928.900
12	2929.100
141	2932.800
121	2934.000
167	2934.500
206	2936.100
337	2940.100
56	2940.900
282	2942.700
134	2944.900
327	2945.000
219	2946.700
12	2949.300
21	2951.700
314	2952.200
292	2952.400
283	2953.000
56	2953.700
211	2957.500
105	2959.100
219	2961.700
134	2963.000
327	2963.100
6	2963.500
206	2966.600
160	2967.600
21	2970.200
88	2971.500
129	2972.100
134	2975.200
327	2975.400
206	2980.200
339	2983.000
11	2987.000
56	2989.000
253	2991.100
262	2991.400
103	2992.300
134	2993.400
180	2993.500
206	2994.900
